Kabupaten/Kota;;;;
;Pendapatan;Pemerintah;Kabupaten/Kota;(Ribu rupiah
;2019;2018;2017;2016
Bogor;2451753202;2794723740;3041872448;2299862659
Sukabumi;556744295;565369087;799499855.5;548936313
Cianjur;602556114;569844590.5;535232527.2;455156876.8
Bandung;849284377;927543321;858875587.2;856514244
Garut;472939892.1;421299024.4;688910453.3;400395595.9
Tasikmalaya;257296743;248420386.3;406334651.9;216227322
Ciamis;238094915;234610670.2;222938975.2;204759436
Kuningan;331071737;303218053;346954340.5;262212854
Cirebon;597481096;584810843.5;557754725.4;529050285.5
Majalengka;473450000;449588421;513783824;331527582
Sumedang;530215807;432196794.9;553257332.8;345804641.9
Indramayu;439593641;419892815.1;577594379;351177413.8
Subang;473715728;400755045;234641213.1;360621618.1
Purwakarta;464858009.5;368851052.9;472480561;341116103.3
Karawang;1414407023;1169569261;1398309963;1003354916
Bekasi;2183381401;2094369342;2311805849;1917814674
Bandung Barat;581055644.7;422495953.6;609916387.8;376220675
Pangandaran;144933724;111217120.2;118011275;66385348.15
Kota Bogor;944394651;912197971.3;977803907;783873587.2
Kota Sukabumi;376146457;362342291;359024019.5;295257670.8
Kota Bandung;3055014614;2571591784;2578457421;2152755704
Kota Cirebon;478150076.4;440169142.6;443929979.6;363115251
Kota Bekasi;3273595338;2001150459;1757641804;1686600487
Kota Depok;1114036195;1059700282;1210748606;922533784.3
Kota Cimahi;444244273;335016530.3;383911991.3;286049614
Kota Tasikmalaya;298057366.4;280014887.9;354840203.8;254532699.9
Kota Banjar;131881763.3;116167055.6;125454618.1;116321781
Provinsi Jawa Barat;19759789101;19642915448;17102520315;17042895113
